colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
ENLACE SUR,10,20,ENLACE SUR,216,ANCHORENA,ROSARIO,59,AYACUCHO,ROSARIO,2250,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,95,ARIJON,ROSARIO,499,ARGENTINA,ROSARIO,3383,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,95,ARIJON,ROSARIO,311,ATAHUALPA,ROSARIO,5416,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,95,ARIJON,ROSARIO,59,AYACUCHO,ROSARIO,9700,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,95,ARIJON,ROSARIO,495,CASTRO BARROS,ROSARIO,6562,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,95,ARIJON,ROSARIO,541,MARCELO ALVEAR,ROSARIO,4899,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,95,ARIJON,ROSARIO,333,PAVON,ROSARIO,9052,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,95,ARIJON,ROSARIO,371,SERRANO,ROSARIO,2485,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,59,AYACUCHO,ROSARIO,216,ANCHORENA,ROSARIO,7658,UNICO,ENL.SUR VUELTA,ENLACE SUR UNICO > ENL.SUR VUELTA
ENLACE SUR,10,20,ENLACE SUR,59,AYACUCHO,ROSARIO,392,CENTENARIO,ROSARIO,8069,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,59,AYACUCHO,ROSARIO,482,H. DE LA QUINTANA,ROSARIO,7234,UNICO,ENL.SUR VUELTA,ENLACE SUR UNICO > ENL.SUR VUELTA
ENLACE SUR,10,20,ENLACE SUR,59,AYACUCHO,ROSARIO,695,LAINEZ,ROSARIO,5529,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,59,AYACUCHO,ROSARIO,42,NTRA. SRA. ROSARIO,ROSARIO,2584,UNICO,ENL.SUR VUELTA,ENLACE SUR UNICO > ENL.SUR VUELTA
ENLACE SUR,10,20,ENLACE SUR,59,AYACUCHO,ROSARIO,404,RUI BARBOSA,ROSARIO,6259,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,389,JULIAN LEIVA,ROSARIO,42,NTRA. SRA. ROSARIO,ROSARIO,7469,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,389,JULIAN LEIVA,ROSARIO,227,PTE. QUINTANA,ROSARIO,6810,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,389,JULIAN LEIVA,ROSARIO,107,REGIMIENTO 11,ROSARIO,5276,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,389,JULIAN LEIVA,ROSARIO,215,S. DE BUSTAMANTE,ROSARIO,7116,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,54,LAMADRID,ROSARIO,59,AYACUCHO,ROSARIO,7227,UNICO,ENL.SUR VUELTA,ENLACE SUR UNICO > ENL.SUR VUELTA
ENLACE SUR,10,20,ENLACE SUR,54,LAMADRID,ROSARIO,299,BERMUDEZ,ROSARIO,9096,UNICO,ENL.SUR VUELTA,ENLACE SUR UNICO > ENL.SUR VUELTA
ENLACE SUR,10,20,ENLACE SUR,54,LAMADRID,ROSARIO,203,BUENOS AIRES,ROSARIO,4695,UNICO,ENL.SUR VUELTA,ENLACE SUR UNICO > ENL.SUR VUELTA
ENLACE SUR,10,20,ENLACE SUR,54,LAMADRID,ROSARIO,113,SALVA,ROSARIO,1261,UNICO,ENL.SUR VUELTA,ENLACE SUR UNICO > ENL.SUR VUELTA
ENLACE SUR,10,20,ENLACE SUR,119,LAPRIDA,ROSARIO,217,E. DE LUCA,ROSARIO,5544,UNICO,ENL.SUR VUELTA,ENLACE SUR UNICO > ENL.SUR VUELTA
ENLACE SUR,10,20,ENLACE SUR,119,LAPRIDA,ROSARIO,480,MOUSSY,ROSARIO,4046,UNICO,ENL.SUR VUELTA,ENLACE SUR UNICO > ENL.SUR VUELTA
ENLACE SUR,10,20,ENLACE SUR,218,LITUANIA,ROSARIO,440,J. CHAPO,ROSARIO,5587,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,218,LITUANIA,ROSARIO,281,ORIBE,ROSARIO,5534,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,218,LITUANIA,ROSARIO,314,ROMA,ROSARIO,3107,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,42,NTRA. SRA. ROSARIO,ROSARIO,495,CASTRO BARROS,ROSARIO,3313,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,42,NTRA. SRA. ROSARIO,ROSARIO,550,CEPEDA,ROSARIO,3826,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,42,NTRA. SRA. ROSARIO,ROSARIO,333,PAVON,ROSARIO,2325,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,42,NTRA. SRA. ROSARIO,ROSARIO,508,PEDERNERA,ROSARIO,3479,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,42,NTRA. SRA. ROSARIO,ROSARIO,371,SERRANO,ROSARIO,2685,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,333,PAVON,ROSARIO,107,REGIMIENTO 11,ROSARIO,4491,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,404,RUI BARBOSA,ROSARIO,299,BERMUDEZ,ROSARIO,9751,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,404,RUI BARBOSA,ROSARIO,203,BUENOS AIRES,ROSARIO,3657,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
ENLACE SUR,10,20,ENLACE SUR,404,RUI BARBOSA,ROSARIO,389,JULIAN LEIVA,ROSARIO,7972,UNICO,ENL.SUR IDA,ENLACE SUR UNICO > ENL.SUR IDA
