colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
102R,2,20,102R,199,3 DE FEBRERO,ROSARIO,159,JUAN M. DE ROSAS,ROSARIO,5122,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,199,3 DE FEBRERO,ROSARIO,147,L. N. ALEM,ROSARIO,4714,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,255,A. SABIN,ROSARIO,34,ALMAFUERTE,ROSARIO,3133,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,255,A. SABIN,ROSARIO,34,ALMAFUERTE,ROSARIO,3328,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,255,A. SABIN,ROSARIO,26,FRENCH,ROSARIO,2212,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,255,A. SABIN,ROSARIO,26,FRENCH,ROSARIO,3451,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,255,A. SABIN,ROSARIO,97,GENOVA,ROSARIO,3852,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,255,A. SABIN,ROSARIO,452,J. INGENIEROS,ROSARIO,6430,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,255,A. SABIN,ROSARIO,93,J. J. PASO,ROSARIO,2100,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,255,A. SABIN,ROSARIO,93,J. J. PASO,ROSARIO,2766,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,255,A. SABIN,ROSARIO,272,JUAN B. JUSTO,ROSARIO,2401,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,255,A. SABIN,ROSARIO,29,OLIVE,ROSARIO,9142,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,721,ARISTOB. DEL VALLE,ROSARIO,383,CALLAO,ROSARIO,7280,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,402,AVALOS,ROSARIO,90,FREYRE,ROSARIO,4670,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,59,AYACUCHO,ROSARIO,171,9 DE JULIO,ROSARIO,6580,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,59,AYACUCHO,ROSARIO,403,COCHABAMBA,ROSARIO,6950,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,59,AYACUCHO,ROSARIO,377,ITUZAINGO,ROSARIO,6020,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,59,AYACUCHO,ROSARIO,158,MONTEVIDEO,ROSARIO,1587,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,238,B. LEVI,ROSARIO,239,CALDERON,ROSARIO,2056,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,44,BAIGORRIA,ROSARIO,724,ANNA FRANK,ROSARIO,6091,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,44,BAIGORRIA,ROSARIO,402,AVALOS,ROSARIO,2642,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,44,BAIGORRIA,ROSARIO,250,BOEDO,ROSARIO,2093,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,44,BAIGORRIA,ROSARIO,445,BRASILIA,ROSARIO,2954,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,44,BAIGORRIA,ROSARIO,827,CAMAÑA,ROSARIO,8427,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,44,BAIGORRIA,ROSARIO,685,CAMBAY,ROSARIO,5457,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,44,BAIGORRIA,ROSARIO,290,CASIANO CASAS,ROSARIO,2279,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,44,BAIGORRIA,ROSARIO,562,CAVIA,ROSARIO,3921,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,44,BAIGORRIA,ROSARIO,432,GAMBARTES,ROSARIO,8025,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,44,BAIGORRIA,ROSARIO,522,LOPEZ BUCHARDO,ROSARIO,3940,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,44,BAIGORRIA,ROSARIO,303,M. GARCIA,ROSARIO,2235,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,44,BAIGORRIA,ROSARIO,529,PIZZURNO,ROSARIO,3660,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,44,BAIGORRIA,ROSARIO,554,VESPUCIO,ROSARIO,3856,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,44,BAIGORRIA,ROSARIO,278,Z. PEREYRA,ROSARIO,3565,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,124,BERUTI,ROSARIO,125,RIOBAMBA,ROSARIO,1338,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,250,BOEDO,ROSARIO,593,GHIRALDO,ROSARIO,9425,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,384,BOUCHARD,ROSARIO,385,POLLEDO,ROSARIO,2562,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,144,BRIGADIER LOPEZ,ROSARIO,96,MORENO,ROSARIO,9705,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,144,BRIGADIER LOPEZ,ROSARIO,53,OROÑO,ROSARIO,8970,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,144,BRIGADIER LOPEZ,ROSARIO,123,SANTIAGO,ROSARIO,7305,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,144,BRIGADIER LOPEZ,ROSARIO,145,SUIPACHA,ROSARIO,1459,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,203,BUENOS AIRES,ROSARIO,37,MENDOZA,ROSARIO,9629,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,203,BUENOS AIRES,ROSARIO,573,RIOJA,ROSARIO,8277,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,203,BUENOS AIRES,ROSARIO,80,SAN LUIS,ROSARIO,8696,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,239,CALDERON,ROSARIO,238,B. LEVI,ROSARIO,8912,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,239,CALDERON,ROSARIO,672,C. ALBERINI,ROSARIO,5308,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,239,CALDERON,ROSARIO,540,CALLE 1399,ROSARIO,9595,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,239,CALDERON,ROSARIO,286,SALVAT,ROSARIO,3797,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,510,CALLE 1331,ROSARIO,219,VILLA DEL PARQUE,ROSARIO,7060,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,36,CARBALLO,ROSARIO,30,ALBERDI,ROSARIO,4975,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,36,CARBALLO,ROSARIO,30,ALBERDI,ROSARIO,6277,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,36,CARBALLO,ROSARIO,25,AVELLANEDA,ROSARIO,4286,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,36,CARBALLO,ROSARIO,25,AVELLANEDA,ROSARIO,9658,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,36,CARBALLO,ROSARIO,760,ESTRADA,ROSARIO,6764,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,36,CARBALLO,ROSARIO,760,ESTRADA,ROSARIO,7779,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,36,CARBALLO,ROSARIO,736,FLORIDA,ROSARIO,8180,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,36,CARBALLO,ROSARIO,736,FLORIDA,ROSARIO,9702,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,290,CASIANO CASAS,ROSARIO,505,B. PARERA,ROSARIO,3461,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,290,CASIANO CASAS,ROSARIO,505,B. PARERA,ROSARIO,5966,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,290,CASIANO CASAS,ROSARIO,429,COMERCIO,ROSARIO,2793,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,290,CASIANO CASAS,ROSARIO,429,COMERCIO,ROSARIO,3225,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,290,CASIANO CASAS,ROSARIO,274,F. NETRI,ROSARIO,2415,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,290,CASIANO CASAS,ROSARIO,274,F. NETRI,ROSARIO,3498,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,290,CASIANO CASAS,ROSARIO,114,SORRENTO,ROSARIO,3024,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,290,CASIANO CASAS,ROSARIO,407,URIARTE,ROSARIO,2654,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,290,CASIANO CASAS,ROSARIO,407,URIARTE,ROSARIO,3352,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,290,CASIANO CASAS,ROSARIO,79,WASHINGTON,ROSARIO,3302,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,290,CASIANO CASAS,ROSARIO,79,WASHINGTON,ROSARIO,3844,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,209,CERRITO,ROSARIO,124,BERUTI,ROSARIO,4369,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,619,CHACABUCO,ROSARIO,377,ITUZAINGO,ROSARIO,8017,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,102,DORREGO,ROSARIO,140,CATAMARCA,ROSARIO,8767,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,102,DORREGO,ROSARIO,602,JUJUY,ROSARIO,7553,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,102,DORREGO,ROSARIO,573,RIOJA,ROSARIO,6514,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,102,DORREGO,ROSARIO,101,SAN LORENZO,ROSARIO,5881,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,102,DORREGO,ROSARIO,77,URQUIZA,ROSARIO,4388,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,153,ECHEVERRIA,ROSARIO,138,GORRITI,ROSARIO,9519,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,433,F. GRANDOLI,ROSARIO,553,GAZCON,ROSARIO,3964,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,433,F. GRANDOLI,ROSARIO,425,N. LAGUNA,ROSARIO,2848,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,433,F. GRANDOLI,ROSARIO,464,POBLET,ROSARIO,5717,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,408,FALUCHO,ROSARIO,592,CILVETI,ROSARIO,4205,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,408,FALUCHO,ROSARIO,39,VELEZ SARSFIELD,ROSARIO,3839,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,553,GAZCON,ROSARIO,433,F. GRANDOLI,ROSARIO,7736,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,138,GORRITI,ROSARIO,408,FALUCHO,ROSARIO,3635,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,138,GORRITI,ROSARIO,498,SANTA MARIA DE ORO,ROSARIO,8266,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,260,INT. LAMAS,ROSARIO,261,8 DE NOVIEMBRE,ROSARIO,2119,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,82,ITALIA,ROSARIO,155,G. BROWN,ROSARIO,6458,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,82,ITALIA,ROSARIO,24,SALTA,ROSARIO,8620,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,82,ITALIA,ROSARIO,101,SAN LORENZO,ROSARIO,4825,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,82,ITALIA,ROSARIO,120,TUCUMAN,ROSARIO,8493,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,517,J. GRANEL,ROSARIO,384,BOUCHARD,ROSARIO,7844,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,517,J. GRANEL,ROSARIO,329,CIUDADELA,ROSARIO,4570,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,517,J. GRANEL,ROSARIO,183,MATHEU,ROSARIO,8258,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,517,J. GRANEL,ROSARIO,870,SOMOZA,ROSARIO,9759,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,517,J. GRANEL,ROSARIO,214,VIEYTES,ROSARIO,6133,ROJA,CLUB LOGARITMO,102R ROJA > CLUB LOGARITMO
102R,2,20,102R,62,JUNIN,ROSARIO,58,FRANCIA,ROSARIO,1748,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,62,JUNIN,ROSARIO,63,MONTEAGUDO,ROSARIO,1121,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,62,JUNIN,ROSARIO,205,RAWSON,ROSARIO,1925,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,233,L. BATLLE,ROSARIO,560,BERNA,ROSARIO,3904,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,233,L. BATLLE,ROSARIO,394,CULLEN Y UGARTE,ROSARIO,2656,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,233,L. BATLLE,ROSARIO,518,G. DE LA VEGA,ROSARIO,3577,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,233,L. BATLLE,ROSARIO,234,TALCAHUANO,ROSARIO,2049,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,147,L. N. ALEM,ROSARIO,199,3 DE FEBRERO,ROSARIO,9114,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,147,L. N. ALEM,ROSARIO,403,COCHABAMBA,ROSARIO,8054,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
102R,2,20,102R,147,L. N. ALEM,ROSARIO,33,PELLEGRINI,ROSARIO,9819,ROJA,CIUDAD UNIVERSITARIA,102R ROJA > CIUDAD UNIVERSITARIA
