colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,161,A. FRONDIZI,ROSARIO,132,CONGRESO,ROSARIO,5316,UNICO,MONUMENTO VUELTA,LINEA DE LA COSTA UNICO > MONUMENTO VUELTA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,161,A. FRONDIZI,ROSARIO,192,CORDIVIOLA,ROSARIO,1795,UNICO,COSTA ALTA IDA,LINEA DE LA COSTA UNICO > COSTA ALTA IDA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,161,A. FRONDIZI,ROSARIO,192,CORDIVIOLA,ROSARIO,1887,UNICO,MONUMENTO VUELTA,LINEA DE LA COSTA UNICO > MONUMENTO VUELTA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,161,A. FRONDIZI,ROSARIO,52,NANSEN,ROSARIO,1598,UNICO,MONUMENTO VUELTA,LINEA DE LA COSTA UNICO > MONUMENTO VUELTA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,161,A. FRONDIZI,ROSARIO,52,NANSEN,ROSARIO,1611,UNICO,COSTA ALTA IDA,LINEA DE LA COSTA UNICO > COSTA ALTA IDA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,99,ALSINA,ROSARIO,57,SANTA FE,ROSARIO,7471,UNICO,MONUMENTO VUELTA,LINEA DE LA COSTA UNICO > MONUMENTO VUELTA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,25,AVELLANEDA,ROSARIO,30,ALBERDI,ROSARIO,8993,UNICO,MONUMENTO VUELTA,LINEA DE LA COSTA UNICO > MONUMENTO VUELTA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,25,AVELLANEDA,ROSARIO,34,ALMAFUERTE,ROSARIO,1040,UNICO,MONUMENTO VUELTA,LINEA DE LA COSTA UNICO > MONUMENTO VUELTA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,25,AVELLANEDA,ROSARIO,34,ALMAFUERTE,ROSARIO,1568,UNICO,COSTA ALTA IDA,LINEA DE LA COSTA UNICO > COSTA ALTA IDA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,25,AVELLANEDA,ROSARIO,134,DEL V. IBERLUCEA,ROSARIO,1382,UNICO,COSTA ALTA IDA,LINEA DE LA COSTA UNICO > COSTA ALTA IDA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,25,AVELLANEDA,ROSARIO,134,DEL V. IBERLUCEA,ROSARIO,1658,UNICO,MONUMENTO VUELTA,LINEA DE LA COSTA UNICO > MONUMENTO VUELTA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,25,AVELLANEDA,ROSARIO,26,FRENCH,ROSARIO,1020,UNICO,MONUMENTO VUELTA,LINEA DE LA COSTA UNICO > MONUMENTO VUELTA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,25,AVELLANEDA,ROSARIO,26,FRENCH,ROSARIO,9913,UNICO,COSTA ALTA IDA,LINEA DE LA COSTA UNICO > COSTA ALTA IDA
LINEA DE LA COSTA,22,20,LINEA DE LA COSTA,25,AVELLANEDA,ROSARIO,138,GORRITI,ROSARIO,1423,UNICO,MONUMENTO VUELTA,LINEA DE LA COSTA UNICO > MONUMENTO VUELTA
