colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
K,23,20,K,199,3 DE FEBRERO,ROSARIO,67,C. COLON,ROSARIO,4391,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,199,3 DE FEBRERO,ROSARIO,147,L. N. ALEM,ROSARIO,4714,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,124,BERUTI,ROSARIO,125,RIOBAMBA,ROSARIO,1338,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,209,CERRITO,ROSARIO,59,AYACUCHO,ROSARIO,6871,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,209,CERRITO,ROSARIO,124,BERUTI,ROSARIO,9877,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,209,CERRITO,ROSARIO,619,CHACABUCO,ROSARIO,5599,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,209,CERRITO,ROSARIO,337,NECOCHEA,ROSARIO,5048,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,147,L. N. ALEM,ROSARIO,199,3 DE FEBRERO,ROSARIO,9114,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,147,L. N. ALEM,ROSARIO,403,COCHABAMBA,ROSARIO,8054,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,147,L. N. ALEM,ROSARIO,377,ITUZAINGO,ROSARIO,8033,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,147,L. N. ALEM,ROSARIO,33,PELLEGRINI,ROSARIO,9819,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,147,L. N. ALEM,ROSARIO,143,ZEBALLOS,ROSARIO,8574,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,99,ALSINA,ROSARIO,1847,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,836,ALVARADO,ROSARIO,8606,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,500,AMUCHASTEGUI,ROSARIO,3389,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,25,AVELLANEDA,ROSARIO,1570,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,38,BARRA,ROSARIO,1044,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,37,MENDOZA,ROSARIO,38,BARRA,ROSARIO,1824,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,195,BOLIVIA,ROSARIO,1843,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,195,BOLIVIA,ROSARIO,8943,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,37,MENDOZA,ROSARIO,203,BUENOS AIRES,ROSARIO,6744,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,11184,BV. OROÑO,ROSARIO,0287,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,19,CAFFERATA,ROSARIO,1815,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,838,CHAPARRO,ROSARIO,8622,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,37,MENDOZA,ROSARIO,109,COLOMBIA,ROSARIO,1249,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,109,COLOMBIA,ROSARIO,7836,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,37,MENDOZA,ROSARIO,69,CONSTITUCION,ROSARIO,4713,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,83,CORRIENTES,ROSARIO,7050,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,108,D. CRESPO,ROSARIO,1517,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,85,DONADO,ROSARIO,3143,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,85,DONADO,ROSARIO,4696,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,37,MENDOZA,ROSARIO,94,F. MORE,ROSARIO,9326,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,89,FRAGA,ROSARIO,1186,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,37,MENDOZA,ROSARIO,89,FRAGA,ROSARIO,7673,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,58,FRANCIA,ROSARIO,5935,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,351,FURLONG,ROSARIO,2397,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,351,FURLONG,ROSARIO,6302,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,37,MENDOZA,ROSARIO,56,GUATEMALA,ROSARIO,5482,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,37,MENDOZA,ROSARIO,56,GUATEMALA,ROSARIO,9318,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,100,GUTENBERG,ROSARIO,6772,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,82,ITALIA,ROSARIO,7907,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,46,JOSE COLOMBRES,ROSARIO,2304,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,46,JOSE COLOMBRES,ROSARIO,4394,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,37,MENDOZA,ROSARIO,178,JOSE M. ROSA,ROSARIO,3336,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,147,L. N. ALEM,ROSARIO,4588,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,421,LARREA,ROSARIO,9275,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,148,MAGALLANES,ROSARIO,1988,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,162,MAIPU,ROSARIO,9145,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,150,MARTIN RODRIGUEZ,ROSARIO,9957,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,188,MEJICO,ROSARIO,1757,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,188,MEJICO,ROSARIO,7646,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,37,MENDOZA,ROSARIO,75,MITRE,ROSARIO,5771,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,96,MORENO,ROSARIO,6811,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,319,NICARAGUA,ROSARIO,4639,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,319,NICARAGUA,ROSARIO,6437,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,37,MENDOZA,ROSARIO,53,OROÑO,ROSARIO,6988,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,91,OVIDIO LAGOS,ROSARIO,6145,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,170,P. L. FUNES,ROSARIO,1642,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
K,23,20,K,37,MENDOZA,ROSARIO,170,P. L. FUNES,ROSARIO,6125,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,160,PERU,ROSARIO,1812,UNICO,CIUDAD UNIVERSITARIA,K UNICO > CIUDAD UNIVERSITARIA
K,23,20,K,37,MENDOZA,ROSARIO,160,PERU,ROSARIO,7761,UNICO,MERCADO DE CONCENTRACION,K UNICO > MERCADO DE CONCENTRACION
