colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
Q,24,20,Q,199,3 DE FEBRERO,ROSARIO,67,C. COLON,ROSARIO,4391,UNICO,AL BARRIO,Q UNICO > AL BARRIO
Q,24,20,Q,199,3 DE FEBRERO,ROSARIO,147,L. N. ALEM,ROSARIO,4714,UNICO,AL BARRIO,Q UNICO > AL BARRIO
Q,24,20,Q,124,BERUTI,ROSARIO,125,RIOBAMBA,ROSARIO,1338,UNICO,CIUDAD UNIVERSITARIA,Q UNICO > CIUDAD UNIVERSITARIA
Q,24,20,Q,209,CERRITO,ROSARIO,59,AYACUCHO,ROSARIO,6871,UNICO,CIUDAD UNIVERSITARIA,Q UNICO > CIUDAD UNIVERSITARIA
Q,24,20,Q,209,CERRITO,ROSARIO,124,BERUTI,ROSARIO,9877,UNICO,CIUDAD UNIVERSITARIA,Q UNICO > CIUDAD UNIVERSITARIA
Q,24,20,Q,209,CERRITO,ROSARIO,619,CHACABUCO,ROSARIO,5599,UNICO,CIUDAD UNIVERSITARIA,Q UNICO > CIUDAD UNIVERSITARIA
Q,24,20,Q,209,CERRITO,ROSARIO,337,NECOCHEA,ROSARIO,5048,UNICO,CIUDAD UNIVERSITARIA,Q UNICO > CIUDAD UNIVERSITARIA
Q,24,20,Q,58,FRANCIA,ROSARIO,235,24 DE SETIEMBRE,ROSARIO,8672,UNICO,CIUDAD UNIVERSITARIA,Q UNICO > CIUDAD UNIVERSITARIA
Q,24,20,Q,58,FRANCIA,ROSARIO,49,27 DE FEBRERO,ROSARIO,1624,UNICO,AL BARRIO,Q UNICO > AL BARRIO
Q,24,20,Q,58,FRANCIA,ROSARIO,49,27 DE FEBRERO,ROSARIO,1746,UNICO,CIUDAD UNIVERSITARIA,Q UNICO > CIUDAD UNIVERSITARIA
Q,24,20,Q,58,FRANCIA,ROSARIO,171,9 DE JULIO,ROSARIO,5019,UNICO,AL BARRIO,Q UNICO > AL BARRIO
Q,24,20,Q,58,FRANCIA,ROSARIO,164,AMENABAR,ROSARIO,2811,UNICO,CIUDAD UNIVERSITARIA,Q UNICO > CIUDAD UNIVERSITARIA
Q,24,20,Q,58,FRANCIA,ROSARIO,164,AMENABAR,ROSARIO,4335,UNICO,AL BARRIO,Q UNICO > AL BARRIO
Q,24,20,Q,58,FRANCIA,ROSARIO,501,AURORA,ROSARIO,8281,UNICO,AL BARRIO,Q UNICO > AL BARRIO
Q,24,20,Q,58,FRANCIA,ROSARIO,501,AURORA,ROSARIO,8295,UNICO,CIUDAD UNIVERSITARIA,Q UNICO > CIUDAD UNIVERSITARIA
Q,24,20,Q,58,FRANCIA,ROSARIO,110,BIEDMA,ROSARIO,3231,UNICO,CIUDAD UNIVERSITARIA,Q UNICO > CIUDAD UNIVERSITARIA
Q,24,20,Q,58,FRANCIA,ROSARIO,110,BIEDMA,ROSARIO,3666,UNICO,AL BARRIO,Q UNICO > AL BARRIO
Q,24,20,Q,58,FRANCIA,ROSARIO,788,CALLE 1209,ROSARIO,7229,UNICO,AL BARRIO,Q UNICO > AL BARRIO
Q,24,20,Q,58,FRANCIA,ROSARIO,175,CALLE 1211,ROSARIO,1661,UNICO,CIUDAD UNIVERSITARIA,Q UNICO > CIUDAD UNIVERSITARIA
Q,24,20,Q,58,FRANCIA,ROSARIO,175,CALLE 1211,ROSARIO,7254,UNICO,AL BARRIO,Q UNICO > AL BARRIO
