colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
RONDA CUR-SUR,25,18,RONDA CUR-SUR,201,1ERA. JUNTA,ROSARIO,49,27 DE FEBRERO,ROSARIO,1903,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,71,BALCARCE,ROSARIO,2184,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,71,BALCARCE,ROSARIO,2875,UNICO,BATTLE ORDOÑEZ Y OV. LAGOS,RONDA CUR-SUR UNICO > BATTLE ORDOÑEZ Y OV. LAGOS
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,383,CALLAO,ROSARIO,5467,UNICO,BATTLE ORDOÑEZ Y OV. LAGOS,RONDA CUR-SUR UNICO > BATTLE ORDOÑEZ Y OV. LAGOS
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,383,CALLAO,ROSARIO,8817,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,35,CARLOS M. ALVEAR,ROSARIO,9494,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,35,CARLOS M. ALVEAR,ROSARIO,9825,UNICO,BATTLE ORDOÑEZ Y OV. LAGOS,RONDA CUR-SUR UNICO > BATTLE ORDOÑEZ Y OV. LAGOS
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,304,CERESETO,ROSARIO,2892,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,304,CERESETO,ROSARIO,4216,UNICO,BATTLE ORDOÑEZ Y OV. LAGOS,RONDA CUR-SUR UNICO > BATTLE ORDOÑEZ Y OV. LAGOS
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,83,CORRIENTES,ROSARIO,4854,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,83,CORRIENTES,ROSARIO,6487,UNICO,BATTLE ORDOÑEZ Y OV. LAGOS,RONDA CUR-SUR UNICO > BATTLE ORDOÑEZ Y OV. LAGOS
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,102,DORREGO,ROSARIO,2884,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,65,ENTRE RIOS,ROSARIO,3860,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,65,ENTRE RIOS,ROSARIO,5332,UNICO,BATTLE ORDOÑEZ Y OV. LAGOS,RONDA CUR-SUR UNICO > BATTLE ORDOÑEZ Y OV. LAGOS
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,50,ESPAÑA,ROSARIO,2502,UNICO,BATTLE ORDOÑEZ Y OV. LAGOS,RONDA CUR-SUR UNICO > BATTLE ORDOÑEZ Y OV. LAGOS
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,50,ESPAÑA,ROSARIO,9664,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,82,ITALIA,ROSARIO,2694,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,82,ITALIA,ROSARIO,4194,UNICO,BATTLE ORDOÑEZ Y OV. LAGOS,RONDA CUR-SUR UNICO > BATTLE ORDOÑEZ Y OV. LAGOS
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,75,MITRE,ROSARIO,9364,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,96,MORENO,ROSARIO,2639,UNICO,BATTLE ORDOÑEZ Y OV. LAGOS,RONDA CUR-SUR UNICO > BATTLE ORDOÑEZ Y OV. LAGOS
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,96,MORENO,ROSARIO,3676,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,53,OROÑO,ROSARIO,3008,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,53,OROÑO,ROSARIO,3160,UNICO,BATTLE ORDOÑEZ Y OV. LAGOS,RONDA CUR-SUR UNICO > BATTLE ORDOÑEZ Y OV. LAGOS
RONDA CUR-SUR,25,18,RONDA CUR-SUR,95,ARIJON,ROSARIO,115,PARAGUAY,ROSARIO,2118,UNICO,BERUTTI Y RIOBAMABA,RONDA CUR-SUR UNICO > BERUTTI Y RIOBAMABA
