colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
RONDA DEL CENTRO,26,20,RONDA DEL CENTRO,49,27 DE FEBRERO,ROSARIO,71,BALCARCE,ROSARIO,7969,UNICO,EST. ROSARIO NORTE,RONDA DEL CENTRO UNICO > EST. ROSARIO NORTE
RONDA DEL CENTRO,26,20,RONDA DEL CENTRO,49,27 DE FEBRERO,ROSARIO,67,C. COLON,ROSARIO,4579,UNICO,CIUDAD UNIVERSITARIA,RONDA DEL CENTRO UNICO > CIUDAD UNIVERSITARIA
RONDA DEL CENTRO,26,20,RONDA DEL CENTRO,49,27 DE FEBRERO,ROSARIO,67,C. COLON,ROSARIO,5995,UNICO,EST. ROSARIO NORTE,RONDA DEL CENTRO UNICO > EST. ROSARIO NORTE
RONDA DEL CENTRO,26,20,RONDA DEL CENTRO,49,27 DE FEBRERO,ROSARIO,383,CALLAO,ROSARIO,9541,UNICO,EST. ROSARIO NORTE,RONDA DEL CENTRO UNICO > EST. ROSARIO NORTE
RONDA DEL CENTRO,26,20,RONDA DEL CENTRO,49,27 DE FEBRERO,ROSARIO,83,CORRIENTES,ROSARIO,1740,UNICO,CIUDAD UNIVERSITARIA,RONDA DEL CENTRO UNICO > CIUDAD UNIVERSITARIA
RONDA DEL CENTRO,26,20,RONDA DEL CENTRO,49,27 DE FEBRERO,ROSARIO,102,DORREGO,ROSARIO,1289,UNICO,EST. ROSARIO NORTE,RONDA DEL CENTRO UNICO > EST. ROSARIO NORTE
RONDA DEL CENTRO,26,20,RONDA DEL CENTRO,49,27 DE FEBRERO,ROSARIO,102,DORREGO,ROSARIO,1551,UNICO,CIUDAD UNIVERSITARIA,RONDA DEL CENTRO UNICO > CIUDAD UNIVERSITARIA
RONDA DEL CENTRO,26,20,RONDA DEL CENTRO,49,27 DE FEBRERO,ROSARIO,50,ESPAÑA,ROSARIO,1080,UNICO,CIUDAD UNIVERSITARIA,RONDA DEL CENTRO UNICO > CIUDAD UNIVERSITARIA
RONDA DEL CENTRO,26,20,RONDA DEL CENTRO,49,27 DE FEBRERO,ROSARIO,50,ESPAÑA,ROSARIO,1436,UNICO,EST. ROSARIO NORTE,RONDA DEL CENTRO UNICO > EST. ROSARIO NORTE
RONDA DEL CENTRO,26,20,RONDA DEL CENTRO,49,27 DE FEBRERO,ROSARIO,58,FRANCIA,ROSARIO,6502,UNICO,CIUDAD UNIVERSITARIA,RONDA DEL CENTRO UNICO > CIUDAD UNIVERSITARIA
