colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
102N,38,146,102N,199,3 DE FEBRERO,ROSARIO,159,JUAN M. DE ROSAS,ROSARIO,5122,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,199,3 DE FEBRERO,ROSARIO,147,L. N. ALEM,ROSARIO,4714,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,30,ALBERDI,ROSARIO,34,ALMAFUERTE,ROSARIO,1293,NEGRA,CIUDAD UNIVERSITARIA,102N NEGRA > CIUDAD UNIVERSITARIA
102N,38,146,102N,30,ALBERDI,ROSARIO,34,ALMAFUERTE,ROSARIO,1578,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,30,ALBERDI,ROSARIO,25,AVELLANEDA,ROSARIO,1451,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,30,ALBERDI,ROSARIO,182,C. ARGENTINO,ROSARIO,1729,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,30,ALBERDI,ROSARIO,36,CARBALLO,ROSARIO,1042,NEGRA,CIUDAD UNIVERSITARIA,102N NEGRA > CIUDAD UNIVERSITARIA
102N,38,146,102N,30,ALBERDI,ROSARIO,36,CARBALLO,ROSARIO,1682,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,30,ALBERDI,ROSARIO,97,GENOVA,ROSARIO,1221,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,30,ALBERDI,ROSARIO,97,GENOVA,ROSARIO,1409,NEGRA,CIUDAD UNIVERSITARIA,102N NEGRA > CIUDAD UNIVERSITARIA
102N,38,146,102N,30,ALBERDI,ROSARIO,31,HUMBERTO PRIMERO,ROSARIO,1024,NEGRA,CIUDAD UNIVERSITARIA,102N NEGRA > CIUDAD UNIVERSITARIA
102N,38,146,102N,30,ALBERDI,ROSARIO,93,J. J. PASO,ROSARIO,1498,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,30,ALBERDI,ROSARIO,93,J. J. PASO,ROSARIO,1555,NEGRA,CIUDAD UNIVERSITARIA,102N NEGRA > CIUDAD UNIVERSITARIA
102N,38,146,102N,30,ALBERDI,ROSARIO,62,JUNIN,ROSARIO,1524,NEGRA,CIUDAD UNIVERSITARIA,102N NEGRA > CIUDAD UNIVERSITARIA
102N,38,146,102N,30,ALBERDI,ROSARIO,645,MONGSFELD,ROSARIO,4877,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,30,ALBERDI,ROSARIO,39,VELEZ SARSFIELD,ROSARIO,1097,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,30,ALBERDI,ROSARIO,39,VELEZ SARSFIELD,ROSARIO,1575,NEGRA,CIUDAD UNIVERSITARIA,102N NEGRA > CIUDAD UNIVERSITARIA
102N,38,146,102N,59,AYACUCHO,ROSARIO,171,9 DE JULIO,ROSARIO,6580,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,59,AYACUCHO,ROSARIO,403,COCHABAMBA,ROSARIO,6950,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,59,AYACUCHO,ROSARIO,377,ITUZAINGO,ROSARIO,6020,NEGRA,OLIMPICO,102N NEGRA > OLIMPICO
102N,38,146,102N,71,BALCARCE,ROSARIO,573,RIOJA,ROSARIO,8255,NEGRA,CIUDAD UNIVERSITARIA,102N NEGRA > CIUDAD UNIVERSITARIA
102N,38,146,102N,124,BERUTI,ROSARIO,125,RIOBAMBA,ROSARIO,1338,NEGRA,CIUDAD UNIVERSITARIA,102N NEGRA > CIUDAD UNIVERSITARIA
