colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,283,ABORIG. ARGENTINOS,ROSARIO,131,MATIENZO,ROSARIO,2189,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,94,F. MORE,ROSARIO,283,ABORIG. ARGENTINOS,ROSARIO,7772,UNICO,F.MORE Y ABORIGENES ARGENTINO,ENLACE AVELLANEDA OESTE UNICO > F.MORE Y ABORIGENES ARGENTINO
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,259,LINIERS,ROSARIO,81,PTE. PERON,ROSARIO,9111,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,259,LINIERS,ROSARIO,74,RUEDA,ROSARIO,2617,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,249,M. CISNERO,ROSARIO,133,C. ALDAO,ROSARIO,6579,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,249,M. CISNERO,ROSARIO,620,COMANDOS 602,ROSARIO,4510,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,249,M. CISNERO,ROSARIO,154,ROUILLON,ROSARIO,7719,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,249,M. CISNERO,ROSARIO,174,TTE. AGNETA,ROSARIO,9398,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,131,MATIENZO,ROSARIO,398,DR. MARADONA,ROSARIO,6854,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,526,B. RODRIGUEZ,ROSARIO,3643,UNICO,F.MORE Y ABORIGENES ARGENTINO,ENLACE AVELLANEDA OESTE UNICO > F.MORE Y ABORIGENES ARGENTINO
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,368,BISELLI,ROSARIO,2465,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,558,C. SAAVEDRA,ROSARIO,6375,UNICO,F.MORE Y ABORIGENES ARGENTINO,ENLACE AVELLANEDA OESTE UNICO > F.MORE Y ABORIGENES ARGENTINO
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,558,C. SAAVEDRA,ROSARIO,8661,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,127,DEAN FUNES,ROSARIO,6693,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,127,DEAN FUNES,ROSARIO,9477,UNICO,F.MORE Y ABORIGENES ARGENTINO,ENLACE AVELLANEDA OESTE UNICO > F.MORE Y ABORIGENES ARGENTINO
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,472,ESPINOSA,ROSARIO,3134,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,224,J. DE GARAY,ROSARIO,2787,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,224,J. DE GARAY,ROSARIO,9041,UNICO,F.MORE Y ABORIGENES ARGENTINO,ENLACE AVELLANEDA OESTE UNICO > F.MORE Y ABORIGENES ARGENTINO
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,322,PASOTTI,ROSARIO,2295,UNICO,F.MORE Y ABORIGENES ARGENTINO,ENLACE AVELLANEDA OESTE UNICO > F.MORE Y ABORIGENES ARGENTINO
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,322,PASOTTI,ROSARIO,3322,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,104,SEGUI,ROSARIO,3001,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,104,SEGUI,ROSARIO,7164,UNICO,F.MORE Y ABORIGENES ARGENTINO,ENLACE AVELLANEDA OESTE UNICO > F.MORE Y ABORIGENES ARGENTINO
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,252,URUGUAY,ROSARIO,3104,UNICO,ROUILLON Y AV. PTE. PERON,ENLACE AVELLANEDA OESTE UNICO > ROUILLON Y AV. PTE. PERON
ENLACE AVELLANEDA OESTE,6,20,ENLACE AVELLANEDA OESTE,154,ROUILLON,ROSARIO,252,URUGUAY,ROSARIO,4534,UNICO,F.MORE Y ABORIGENES ARGENTINO,ENLACE AVELLANEDA OESTE UNICO > F.MORE Y ABORIGENES ARGENTINO
