colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,376,5 DE AGOSTO,ROSARIO,50,ESPAÑA,ROSARIO,3327,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,376,5 DE AGOSTO,ROSARIO,876,GUARIA MORADA,ROSARIO,9870,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,376,5 DE AGOSTO,ROSARIO,178,JOSE M. ROSA,ROSARIO,3708,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,295,BLANDENGUES,ROSARIO,296,MONTERO,ROSARIO,2216,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,295,BLANDENGUES,ROSARIO,27,SAN MARTIN,ROSARIO,4009,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,694,CALLE 503,ROSARIO,613,S. CARNOT,ROSARIO,5577,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,880,CLAVEL,ROSARIO,881,HORTENSIA,ROSARIO,9945,UNICO,CLAVEL Y HORTENSIA,ENLACE IRIGOYEN UNICO > CLAVEL Y HORTENSIA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,297,FLOR DE NACAR,ROSARIO,376,5 DE AGOSTO,ROSARIO,3411,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,297,FLOR DE NACAR,ROSARIO,449,ESTRELLA FEDERAL,ROSARIO,2971,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,297,FLOR DE NACAR,ROSARIO,298,ROSA SILVESTRE,ROSARIO,2217,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,334,FRIAS,ROSARIO,676,P. DE LOS ARROYOS,ROSARIO,5852,UNICO,CLAVEL Y HORTENSIA,ENLACE IRIGOYEN UNICO > CLAVEL Y HORTENSIA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,119,LAPRIDA,ROSARIO,42,NTRA. SRA. ROSARIO,ROSARIO,2070,UNICO,CLAVEL Y HORTENSIA,ENLACE IRIGOYEN UNICO > CLAVEL Y HORTENSIA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,676,P. DE LOS ARROYOS,ROSARIO,528,ALZUGARAY,ROSARIO,7328,UNICO,CLAVEL Y HORTENSIA,ENLACE IRIGOYEN UNICO > CLAVEL Y HORTENSIA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,676,P. DE LOS ARROYOS,ROSARIO,295,BLANDENGUES,ROSARIO,5376,UNICO,CLAVEL Y HORTENSIA,ENLACE IRIGOYEN UNICO > CLAVEL Y HORTENSIA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,676,P. DE LOS ARROYOS,ROSARIO,457,JUAN PABLO II,ROSARIO,6493,UNICO,CLAVEL Y HORTENSIA,ENLACE IRIGOYEN UNICO > CLAVEL Y HORTENSIA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,107,REGIMIENTO 11,ROSARIO,119,LAPRIDA,ROSARIO,5647,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,27,SAN MARTIN,ROSARIO,542,25 DE MAYO,ROSARIO,3755,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,27,SAN MARTIN,ROSARIO,95,ARIJON,ROSARIO,1206,UNICO,CLAVEL Y HORTENSIA,ENLACE IRIGOYEN UNICO > CLAVEL Y HORTENSIA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,27,SAN MARTIN,ROSARIO,95,ARIJON,ROSARIO,9116,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
ENLACE IRIGOYEN,7,18,ENLACE IRIGOYEN,27,SAN MARTIN,ROSARIO,363,CABILDO,ROSARIO,3437,UNICO,REGIMIENTO 11 Y LAPRIDA,ENLACE IRIGOYEN UNICO > REGIMIENTO 11 Y LAPRIDA
