colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
ENLACE NOROESTE,8,20,ENLACE NOROESTE,441,ALVAREZ CONDARCO,ROSARIO,452,J. INGENIEROS,ROSARIO,5510,UNICO,MALABIA HASTA SCHWEITZER,ENLACE NOROESTE UNICO > MALABIA HASTA SCHWEITZER
ENLACE NOROESTE,8,20,ENLACE NOROESTE,55,EVA PERON,ROSARIO,85,DONADO,ROSARIO,1604,UNICO,MALABIA HASTA SCHWEITZER,ENLACE NOROESTE UNICO > MALABIA HASTA SCHWEITZER
ENLACE NOROESTE,8,20,ENLACE NOROESTE,55,EVA PERON,ROSARIO,477,GONZALEZ DEL SOLAR,ROSARIO,7720,UNICO,MALABIA HASTA SCHWEITZER,ENLACE NOROESTE UNICO > MALABIA HASTA SCHWEITZER
ENLACE NOROESTE,8,20,ENLACE NOROESTE,55,EVA PERON,ROSARIO,477,GONZALEZ DEL SOLAR,ROSARIO,8008,UNICO,EVA PERON HASTA RODO,ENLACE NOROESTE UNICO > EVA PERON HASTA RODO
ENLACE NOROESTE,8,20,ENLACE NOROESTE,55,EVA PERON,ROSARIO,46,JOSE COLOMBRES,ROSARIO,1825,UNICO,MALABIA HASTA SCHWEITZER,ENLACE NOROESTE UNICO > MALABIA HASTA SCHWEITZER
ENLACE NOROESTE,8,20,ENLACE NOROESTE,55,EVA PERON,ROSARIO,46,JOSE COLOMBRES,ROSARIO,6571,UNICO,EVA PERON HASTA RODO,ENLACE NOROESTE UNICO > EVA PERON HASTA RODO
ENLACE NOROESTE,8,20,ENLACE NOROESTE,55,EVA PERON,ROSARIO,152,MUNIAGURRIA,ROSARIO,1514,UNICO,MALABIA HASTA SCHWEITZER,ENLACE NOROESTE UNICO > MALABIA HASTA SCHWEITZER
ENLACE NOROESTE,8,20,ENLACE NOROESTE,55,EVA PERON,ROSARIO,152,MUNIAGURRIA,ROSARIO,5667,UNICO,EVA PERON HASTA RODO,ENLACE NOROESTE UNICO > EVA PERON HASTA RODO
ENLACE NOROESTE,8,20,ENLACE NOROESTE,55,EVA PERON,ROSARIO,169,RODO,ROSARIO,1640,UNICO,MALABIA HASTA SCHWEITZER,ENLACE NOROESTE UNICO > MALABIA HASTA SCHWEITZER
ENLACE NOROESTE,8,20,ENLACE NOROESTE,55,EVA PERON,ROSARIO,72,SANCHEZ DE LORIA,ROSARIO,1414,UNICO,EVA PERON HASTA RODO,ENLACE NOROESTE UNICO > EVA PERON HASTA RODO
ENLACE NOROESTE,8,20,ENLACE NOROESTE,55,EVA PERON,ROSARIO,72,SANCHEZ DE LORIA,ROSARIO,1936,UNICO,MALABIA HASTA SCHWEITZER,ENLACE NOROESTE UNICO > MALABIA HASTA SCHWEITZER
