colectivo_value,colectivo_idLinea,colectivo_identidad,colectivo_name,calle_id,calle_name,calle_city,interseccion_id,interseccion_name,interseccion_city,parada,bandera,destino,destinoRaw
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,177,BRASIL,ROSARIO,310,CHUBUT,ROSARIO,2247,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,177,BRASIL,ROSARIO,292,FOREST,ROSARIO,7126,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,177,BRASIL,ROSARIO,158,MONTEVIDEO,ROSARIO,7274,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,177,BRASIL,ROSARIO,33,PELLEGRINI,ROSARIO,7288,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,627,CALLE 1707,ROSARIO,628,PJE. 1754,ROSARIO,4601,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,627,CALLE 1707,ROSARIO,812,ROJAS,ROSARIO,7901,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,253,CALLE 1739,ROSARIO,525,CALLE 1716,ROSARIO,3630,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,253,CALLE 1739,ROSARIO,254,PJE. 1752,ROSARIO,2098,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,191,ECUADOR,ROSARIO,209,CERRITO,ROSARIO,8351,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,191,ECUADOR,ROSARIO,200,PASCO,ROSARIO,7359,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,292,FOREST,ROSARIO,68,PROVINCIAS UNIDAS,ROSARIO,2536,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,56,GUATEMALA,ROSARIO,566,WHITE,ROSARIO,4861,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,37,MENDOZA,ROSARIO,195,BOLIVIA,ROSARIO,1843,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,37,MENDOZA,ROSARIO,109,COLOMBIA,ROSARIO,1249,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,319,NICARAGUA,ROSARIO,403,COCHABAMBA,ROSARIO,3339,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,319,NICARAGUA,ROSARIO,200,PASCO,ROSARIO,3789,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,200,PASCO,ROSARIO,860,PJE. 1744,ROSARIO,9286,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,415,PJE. 1746,ROSARIO,178,JOSE M. ROSA,ROSARIO,3786,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,415,PJE. 1746,ROSARIO,416,PJE. 1741,ROSARIO,2689,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,68,PROVINCIAS UNIDAS,ROSARIO,209,CERRITO,ROSARIO,8440,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,68,PROVINCIAS UNIDAS,ROSARIO,377,ITUZAINGO,ROSARIO,3497,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
ENLACE SANTA LUCIA,9,20,ENLACE SANTA LUCIA,68,PROVINCIAS UNIDAS,ROSARIO,158,MONTEVIDEO,ROSARIO,3487,UNICO,ENL.STA.LUC.,ENLACE SANTA LUCIA UNICO > ENL.STA.LUC.
